dept,ctc
FIRE,96870
FIRE,74628
POLICE,154932
LAW,75312
AVIATION,51216
HUMAN RESOURCES,32688
FIRE,94134
POLICE,71040
AVIATION,77280
POLICE,79926
MAYOR'S OFFICE,1
POLICE,77280
WATER MGMNT,93808
POLICE,85278
POLICE,79926
FIRE,79926
POLICE,79926
BUILDINGS,93840
AVIATION,24752
STREETS & SAN,65894
LAW,25152
FIRE,79926
FIRE,131406
POLICE,77238
POLICE,79926
FIRE,101958
REVENUE,44568
TRANSPORTN,96276
ENVIRONMENT,88872
POLICE,79926
FIRE,71082
POLICE,86508
POLICE,43104
PROCUREMENT,53340
LAW,25152
POLICE,79926
POLICE,95694
FIRE,150264
AVIATION,70408
AVIATION,70408
POLICE,71040
POLICE,77238
AVIATION,109032
POLICE,82878
POLICE,82878
FIRE,64374
POLICE,67704
FIRE,71082
ENVIRONMENT,60708
FIRE,78354
POLICE,74628
TRANSPORTN,96574
LAW,77280
STREETS & SAN,70408
AVIATION,70408
FIRE,89838
FIRE,77238
POLICE,77238
BUILDINGS,76536
AVIATION,21258
POLICE,74628
CITY COUNCIL,55656
GENERAL SERVICES,34840
GENERAL SERVICES,79040
AVIATION,70408
BUSINESS AFFAIRS,77292
AVIATION,95680
AVIATION,82638
POLICE,74628
STREETS & SAN,93808
FIRE,83148
FAMILY & SUPPORT,31680
POLICE,55872
POLICE,51216
GENERAL SERVICES,73216
STREETS & SAN,65894
AVIATION,68162
ENVIRONMENT,83352
STREETS & SAN,113448
STREETS & SAN,65894
POLICE,86508
FIRE,79926
AVIATION,48924
OEMC,58860
POLICE,83916
DoIT,77280
REVENUE,44568
FIRE,78354
WATER MGMNT,73216
POLICE,67224
POLICE,87048
WATER MGMNT,70408
HEALTH,61308
POLICE,71040
STREETS & SAN,70408
WATER MGMNT,58548
WATER MGMNT,70408
POLICE,74628
OEMC,18886
HUMAN RELATIONS,62640
TRANSPORTN,93808
POLICE,77238
POLICE,74628
STREETS & SAN,50952
PUBLIC LIBRARY,76536
POLICE,74628
FLEET MANAGEMNT,79040
